aonly_AA	aonly_DA	
861.7	274.08
957.69	324.08
1222.7	471.08
1436.7	582.09
1877.7	578.09
2119.6	602.1
2677.6	786.1
3101.6	984.11
3739.6	1211.1
4173.6	1379.1
4972.6	1654.1
5517.6	1935.1
6370.6	1982.1
6839.5	2142.1
7509.5	2376.1
7878.5	2559.1
8230.5	2644.1
8277.5	2685.1
8322.5	2621.2
8149.5	2570.2
7702.5	2464.2
7451.4	2346.2
6522.4	2165.2
6131.4	2018.2
4968.4	1384.2
4435.4	1208.2
3444.4	966.19
3013.4	866.19
2196.4	739.2
1833.4	588.2
1300.3	310.21
1069.3	326.21
763.32	259.22
638.3	239.22
468.29	240.22
395.28	182.23
298.27	149.23
467.75	165.07
515.74	189.07
609.72	248.07
698.71	277.08
861.7	302.08
962.69	352.09
1221.7	479.09
1458.7	517.1
1862.7	580.1
2129.6	638.11
2686.6	817.11
3123.6	940.11
3737.6	1343.1
4180.6	1441.1
4990.6	1788.1
5542.6	1801.1
6371.6	1932.1
6849.5	2380.1
7523.5	2448.1
7876.5	2560.1
8236.5	2684.2
8306.5	2679.2
8377.5	2672.2
8362.5	2563.2
7691.5	2242.2
7447.4	2214.2
6514.4	1982.2
6120.4	1831.2
4964.4	1572.2
4455.4	1368.2
3437.4	876.2
2998.4	847.2
2195.4	812.21
1831.4	613.21
1297.3	371.21
1082.3	344.22
768.32	231.22
637.3	223.23
473.29	225.23
394.28	160.24
297.27	93.241
468.75	144.07
521.74	291.08
612.72	300.08
695.71	303.09
860.7	286.09
966.69	453.1
1223.7	463.1
1448.7	473.1
1868.7	593.11
2143.6	641.11
2685.6	741.12
3122.6	1059.1
3745.6	1288.1
4170.6	1291.1
4982.6	1638.1
5550.6	1909.1
6401.6	2021.1
6849.5	2267.1
7532.5	2358.2
7869.5	2474.2
8197.5	2599.2
8265.5	2707.2
8334.5	2656.2
8303.5	2558.2
7711.5	2445.2
7407.4	2257.2
6516.4	1981.2
6101.4	1829.2
4994.4	1610.2
4453.4	1456.2
3436.4	991.21
3018.4	893.21
2205.4	658.21
1830.4	533.22
1313.3	410.22
1091.3	361.23
764.32	319.23
641.3	189.24
480.29	188.24
407.28	175.24
303.27	128.25
482.75	158.08
521.74	218.09
615.72	228.09
705.71	250.1
858.7	269.1
970.69	370.1
1228.7	436.11
1439.7	430.11
1883.7	450.12
2126.6	718.12
2713.6	746.13
3106.6	973.13
3746.6	1196.1
4166.6	1350.1
4987.6	1636.1
5544.6	1922.1
6410.6	2002.2
6855.5	2076.2
7533.5	2314.2
7896.5	2452.2
8207.5	2469.2
8255.5	2524.2
8305.5	2514.2
8289.5	2480.2
7737.5	2390.2
7417.4	2260.2
6491.4	2126.2
6085.4	1871.2
4995.4	1581.2
4439.4	1475.2
3443.4	1253.2
3012.4	996.22
2201.4	624.22
1836.4	569.23
1309.3	464.23
1100.3	362.24
764.32	307.24
639.3	208.24
476.29	169.25
408.28	144.25
311.27	142.26
475.75	176.09
531.74	164.09
616.72	190.1
706.71	187.1
852.7	250.11
964.69	281.11
1227.7	425.12
1437.7	432.12
1881.7	499.13
2132.6	768.13
2717.6	774.13
3106.6	947.14
3758.6	1279.1
4191.6	1494.1
4980.6	1603.2
5570.6	1792.2
6407.6	1908.2
6865.5	2115.2
7529.5	2364.2
7869.5	2544.2
8204.5	2578.2
8254.5	2501.2
8303.5	2450.2
8258.5	2466.2
7726.5	2414.2
7400.4	2222.2
6514.4	2063.2
6078.4	1838.2
4975.4	1636.2
4417.4	1502.2
3442.4	1289.2
3008.4	999.23
2218.4	640.23
1829.4	565.23
1313.3	488.24
1104.3	380.24
771.32	329.25
649.3	218.25
479.29	197.26
409.28	185.26
310.27	139.27
470.75	176.1
535.74	205.1
618.72	222.11
702.71	195.11
861.7	233.12
962.69	298.12
1225.7	400.12
1453.7	442.13
1879.7	608.13
2144.6	712.14
2713.6	855.14
3128.6	1027.1
3751.6	1346.2
4220.6	1488.2
4967.6	1576.2
5551.6	1757.2
6415.6	2002.2
6844.5	2299.2
7525.5	2448.2
7833.5	2588.2
8211.5	2677.2
8257.5	2575.2
8300.5	2483.2
8242.5	2498.2
7689.5	2520.2
7405.4	2277.2
6529.4	1937.2
6113.4	1839.2
4979.4	1674.2
4420.4	1487.2
3451.4	1074.2
3017.4	919.23
2244.4	661.24
1841.4	563.24
1322.3	423.25
1103.3	358.25
777.32	343.26
657.3	212.26
481.29	226.26
412.28	237.27
306.27	149.27
477.75	175.11
533.74	215.11
627.72	215.11
709.71	230.12
879.7	234.12
973.69	334.13
1228.7	357.13
1460.7	418.14
1885.7	484.14
2150.6	641.15
2717.6	1003.1
3138.6	1017.2
3741.6	1186.2
4209.6	1398.2
4958.6	1672.2
5511.6	1894.2
6408.6	2239.2
6813.5	2291.2
7505.5	2459.2
7825.5	2496.2
8204.5	2487.2
8245.5	2480.2
8287.5	2482.2
8252.5	2483.2
7674.5	2457.2
7420.4	2435.2
6525.4	2070.2
6137.4	1965.2
5003.4	1569.2
4448.4	1383.2
3469.4	990.24
3036.4	908.24
2251.4	685.25
1857.4	650.25
1332.3	340.26
1109.3	294.26
781.32	248.26
659.3	229.27
484.29	207.27
419.28	180.28
