donly_DD	donly_DA	
3041.6	348.31
3685.7	402.32
4030.8	418.32
5410.8	470.33
5610.9	531.33
7770	958.34
8400	1043.3
11329	1375.3
12212	1625.3
15596	1855.4
16884	2108.4
20771	2498.4
22063	2821.4
26011	3341.4
27266	3346.4
30802	3596.4
31775	3895.4
33271	4037.4
33553	4048.4
33499	4059.4
33277	3818.4
31075	3573.4
29831	3297.4
26120	3047.4
24616	2766.4
19232	2282.4
18167	2195.4
13219	1512.4
11708	1350.4
8168.6	985.44
7149.7	964.45
4657.8	560.45
4181.8	417.45
2704.9	291.46
2484	270.46
1898	242.47
1641.1	203.47
1209.2	87.476
2088.4	295.31
2121.5	296.31
2837.5	298.32
3087.6	363.32
3826.7	401.33
4128.7	458.33
5486.8	516.33
5911.9	728.34
7955.9	941.34
8541	1050.3
11734	1254.4
12437	1535.4
16000	1747.4
17058	2266.4
21203	2738.4
22492	2896.4
26532	3106.4
27968	3320.4
31519	3580.4
32445	3855.4
33438	3955.4
34456	4081.4
34081	4212.4
33710	4011.4
31833	3763.4
30775	3373.4
26629	3015.4
25193	2689.4
19874	2389.4
18408	2257.4
13574	1527.4
12319	1487.4
8272.6	882.45
7278.7	878.45
4718.7	706.46
4313.8	526.46
2895.9	381.47
2571.9	271.47
1880	228.48
1720.1	223.48
1229.1	129.48
2131.4	303.32
2302.4	327.32
2761.5	312.33
3042.6	309.33
4032.6	383.33
4143.7	488.34
5654.8	675.34
5904.8	807.35
8089.9	980.35
8824	1280.4
12009	1408.4
12736	1736.4
16390	1935.4
17530	2037.4
22103	2807.4
22520	2873.4
27379	3024.4
28400	3192.4
32381	3550.4
32997	3915.4
34822	4273.4
34966	4299.4
34954	4328.4
34555	4067.4
32172	3910.4
30824	3679.4
27232	3211.4
25782	2900.4
20898	2508.4
18961	2284.4
13670	1709.4
12405	1535.5
8573.6	1011.5
7572.6	821.46
4864.7	578.47
4370.8	525.47
3077.8	498.47
2615.9	349.48
1816	268.48
1753	249.49
1215.1	194.49
2167.3	267.32
2438.4	293.33
2858.5	342.33
3052.5	403.34
3932.6	471.34
4303.7	598.35
5707.7	807.35
6151.8	861.36
8300.9	1013.4
8864	1152.4
12223	1577.4
12884	1836.4
16393	2019.4
17870	2161.4
22337	2764.4
23020	2960.4
27947	3170.4
28678	3448.4
32843	3705.4
33301	4117.4
34898	4235.4
35510	4278.4
35484	4354.4
35237	4185.4
32997	3992.4
31553	3873.4
27757	3342.4
26063	3157.4
20966	2451.4
19303	1970.5
13945	1566.5
12584	1500.5
8793.5	922.46
7694.6	823.47
4952.7	719.47
4456.7	617.48
3172.8	412.48
2588.9	336.49
1865.9	272.49
1709	238.5
1346.1	202.5
2135.3	265.33
2377.4	279.34
3007.4	349.34
3173.5	437.35
3875.6	498.35
4472.6	608.35
5821.7	770.36
6325.8	864.36
8448.9	1006.4
9030.9	967.37
12367	1620.4
13004	1748.4
16721	1998.4
18107	2362.4
22471	2877.4
23753	3044.4
28236	3363.4
28952	3748.4
32938	3793.4
33643	4011.4
34710	4168.4
36107	4297.4
35810	4333.4
35586	4265.4
33782	4007.4
32386	3792.4
28110	3376.4
26314	3188.5
20886	2379.5
19518	2014.5
14153	1534.5
12813	1461.5
8795.5	894.47
7620.6	815.48
5062.6	747.48
4568.7	616.49
3231.8	380.49
2673.8	340.49
1967.9	298.5
1727	244.5
1393	189.51
2072.3	316.34
2263.3	327.35
3019.4	347.35
3284.5	374.35
4108.6	460.36
4515.6	530.36
5993.7	687.37
6318.8	819.37
8459.8	976.38
9252.9	1087.4
12490	1576.4
13184	1728.4
17250	2070.4
18226	2328.4
22878	2998.4
24064	3005.4
28569	3420.4
29288	3732.4
33092	3802.4
34050	3806.4
35206	4345.4
36406	4474.4
36100	4394.4
35804	4316.4
33934	3981.4
32591	3680.5
28369	3435.5
26716	3117.5
21343	2432.5
19740	2435.5
14300	1738.5
12842	1530.5
8728.5	984.48
7613.5	730.49
5177.6	516.49
4614.7	476.49
3241.7	454.5
2860.8	390.5
2015.9	349.51
1843	277.51
1314	219.52
2074.2	334.35
2250.3	352.35
3025.4	381.36
3278.5	467.36
4304.5	555.37
4548.6	571.37
5970.7	699.38
6523.7	770.38
8467.8	958.38
9006.9	1306.4
12600	1534.4
13255	1880.4
17039	2216.4
18060	2365.4
22804	2782.4
24017	2953.4
28843	3468.4
29537	3717.4
33276	4023.4
34117	4051.4
35168	4383.4
36250	4463.4
36087	4531.4
35926	4461.4
33849	3921.5
32720	3708.5
28559	3511.5
26885	3207.5
21475	2468.5
19762	2410.5
14699	1678.5
12709	1675.5
8750.4	852.49
7729.5	643.49
5150.6	478.5
4561.6	414.5
3107.7	357.51
2918.8	343.51
2050.9	334.52
1913.9	268.52
1376	262.52
2197.2	288.36
2434.3	384.36
2949.4	416.37
3337.4	469.37
4369.5	493.37
4478.6	600.38
5995.6	665.38
6637.7	869.39
8716.8	1083.4
9322.8	1279.4
12701	1510.4
